id,company_id,bank_id,account,name
14406,7127,1,3385002200070402,"OMDA DOO BOSANSKI PETROVAC-DRU TVO SA OGRANI ENOM ODGOVORNO U "" OMDA "" BOSANSKI PETROVAC"
14407,7128,14,1941030643800153,DIONA DOO
14408,7129,16,1610350019080039,ENI-COMMERCE DOO BIHAĆ
14409,7130,16,1610350035520084,VELEDAR DOO BUZIM
14410,7130,28,1984011010001522,VELEDAR DOO
14411,7131,1,3385002200069723,DONUM PRO DOO
14412,7131,1,3389002211116368,DONUM PRO DOO
14413,7132,28,1984011010001037,VIR - 92 DOO
14414,7133,16,1610350010290093,BJELAJ DOO BOSANSKI PETROVAC
14415,7133,6,1990450002018716,BJELAJ D.O.O.
14416,7134,16,1610350008970020,UNISUL DOO BUŽIM
14417,7134,28,1984011010007342,UNISUL DOO
14418,7134,1,3389002207346366,UNISUL DOO BUŽIM
14419,7135,1,3385002200021417,SKEND D O O
14420,7136,1,3389002211075240,JAVOR DOO CAZIN
14421,7137,3,1403010016871919,LIMARSTVO DOO CAZIN
14422,7137,28,1982012010022734,LIMARSTVO D.O.O.
14423,7137,6,1990450002328825,LIMARSTVO D.O.O.
14424,7137,1,3389002209224674,LIMARSTVO DOO CAZIN
14425,7138,14,1941110563800175,ERAND DOO TRAVNIK
14426,7139,3,1403050005957283,MEDIAGRAF D.O.O. SANSKI MOST
14427,7139,16,1610350029960044,MEDIAGRAF DOO SANSKI MOST
14428,7139,6,1990440001271186,MEDIAGRAF DOO
14429,7140,16,1610350011220032,VRBANJA DOO SANSKI MOST
14430,7141,5,1374906000903768,MESOPRODUKT DOO BUZIM
14431,7141,28,1984011010002686,MESOPRODUKT DOO
14432,7142,1,3385102200238110,"FANA D O O VELIKA KLADUŠA-DRU TVO SA OGRANI ENOM ODGOVORNO U "" FANA "" ZA TRGOVINU NA VELIKO I MAL"
14433,7143,16,1610350008610053,MIMIN-COMERC DOO VELIKA KLADUŠA
14434,7143,6,1990450002667064,"MIMIN COMERC DOO OGRANI ENOM ODGOVORNO U "" MIMIN - COMERC "" VELIKA KLADU A"
14435,7144,12,1020220000026978,CENTROMARKET D.D.
14436,7145,3,1403050016335507,KORKARIĆ D.O.O. SANSKI MOST
14437,7146,16,1610350006000074,7 MAJ - MIMIN DOO VELIKA KLADUŠA
14438,7146,1,3385102200043625,"7 MAJ-MIMIN D O O VELIKA-DRU TVO SA OGRANI ENOM ODGOVORNO U "" 7 MAJ-MIMIN "" EXPORT-IMPORT VELIKA"
14439,7147,11,1605605500002954,IFTIC-INZINJERING DOO
14440,7147,1,3385002200964354,"IFTI - INŽINJERING D O O -DRU TVO SA OGRANI ENOM ODGOVORNO U "" IFTI - IN INJERING "" D O O BIHA"
14441,7148,1,3385002200402336,""" ADRA "" DRU TVO SA OGRANI ENOM ODGOVORNO U ZA OBRADU I PRERADU DRVETA EXPORT-IMPORT BIHA"
14442,7149,12,1020220000040558,KEČALOVIĆ D.O.O.
14443,7149,21,1414010001287155,MIK 1911 DOO BIHAĆ
14444,7149,16,1610350002190011,KEČALOVIĆ DOO BIHAĆ
14445,7150,3,1403010014000331,E-TVORNICA RASTAVLJAČA I KABLOVSKIH GLAVA DIONIČKO DRUŠTVO BIHAĆ
14446,7150,16,1610350005270052,E TVORNICA RASTAVLJAČA I KABLOVSKIH GLAVA DD
14447,7150,26,1950010000007212,E-TVORNICA RASTAVLJAČA I KABLOVSKIH GLAVA DD BIHAĆ
14448,7150,1,3385002200008128,""" E -TVORNICA RASTAVLJA A I KABLOVSKIH GLAVA "" DIONI KO DRU TVO BIHA"
14449,7150,1,3389002210013963,""" E -TVORNICA RASTAVLJA A I KABLOVSKIH GLAVA "" DIONI KO DRU TVO BIHA"
14450,7151,1,3385102200004340,MN VELIKA KALDUŠADU TVO SA OGRANI ENOM ODGOVORNO U ZA PROIZVODNJU TRGOVINU PROMRET USLUGE EXPORT-
14451,7152,3,1403010003702714,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""TABAK"" V.KLADUŠA"
14452,7152,21,1414010000447135,TABAK DOO VELIKA KLADUŠA
14453,7152,16,1610350005070038,TABAK DOO VELIKA KLADUŠA
14454,7152,1,3385102200140819,"TABAK D O O VELIKA KLADU-DRU TVO SA OGRANI ENOM ODGOVORNO U ""TABAK"" V KLADU A"
14455,7153,4,5510020001718820,GRADJENJE DOO
14456,7154,16,1610350005230088,ECO STOLARIJA DOO VELIKA KLADU▯A
14457,7154,1,3385102200177485,""" ECO STOLARIJA "" DRU TVO SA OGRANI ENOM ODGOVORNO U ZA PROIZVODNJU PVC STOLARIJE VELIKA KLADU A"
14458,7155,28,1980011010005117,POR-TREND D.O.O.
14459,7156,16,1610350004750035,RIZVAN. Z-PROMET DOO VELIKA KLADUSA
14460,7156,17,3060610000161396,RIZVAN.Z.-PROMET DOO VELIKA KLADUŠA
14461,7157,16,1610350013970079,SANELA KOMERC DOO VELIKA KLADUŠA
14462,7158,16,1610350007360014,BANJAC DOO CAZIN
14463,7158,28,1982012010001394,BANJAC D.O.O.
14464,7159,2,1549222001499983,ABONOS DOO
14465,7159,16,1610350008510046,ABONOS DOO BUŽIM
14466,7159,1,3385002200215029,"ABONOS D O O BUŽIM-DRU TVO SA OGRANI ENOM ODGOVORNO U "" ABONOS "" BU IM"
14467,7160,1,3385102200008996,"BADŽENI - COMERC D O O VE-DRU TVO SA OGRANI ENOM ODGOVORNO U "" BAD ENI - COMERCE "" VELIKA KLADU A"
14468,7161,6,1990450002077498,AGROKOMERC D.D.
14469,7161,17,3060340000046804,"AGROKOMERC DD VELIKA KLADUŠA PROIZVODNJA,KAKAOA,ČOKOLADE I BOMBONA"
14470,7161,1,3385102200026747,AGROKOMERC DD VELIKA KLADUŠA
14471,7161,1,3385102226700583,AGROKOMERC DD VELIKA KLADUŠA
14472,7161,1,3389002211047789,AGROKOMERC DD VELIKA KLADUŠA
14473,7162,5,1370426001374733,AGROKOMERC D.D. PODRUZNICA SARAJEVO
14474,7162,25,5540120040026107,"AGROKOMERC SA PO PODRUZNICA SARAJEVO D.D. ZA PRIMARNU PROIZVODNJU,INDUSTRIJU,TERCIJALNE I KVARTALNED"
14475,7163,12,1020220000023971,Š.A.S. EXPORT-IMPORT DOO
14476,7164,16,1610350010220059,HURMA DOO VELIKA KLADUŠA
14477,7164,28,1980011010024711,HURMA D.O.O.
14478,7164,6,1990450003283596,HURMA DOO
14479,7165,1,3385102200128403,"BES D O O VELIKA KLADUŠA-DRU TVO SA OGRANI ENOM ODGOVORNO U "" BES "" VELIKA KLADU A"
14480,7166,16,1610350013230066,ALKOR BOSNA DOO SANSKI MOST
14481,7166,14,1941221732801150,ALKOR BOSNA DOO
14482,7166,6,1990440001956685,ALKOR BOSNA DOO
14483,7166,1,3385402228569564,ALKOR BOSNA D O O SANSKI MOST
14484,7167,16,1610350013850090,AMEX-AD DOO VELIKA KLADUŠA
14485,7168,28,1980011010001528,LELI-MERC D.O.O.
14486,7169,28,1980011010001722,RAKO-PROMET D.O.O.
14487,7170,16,1610350016490042,▯-KERANOVI▯ DOO CAZIN
14488,7170,28,1982012010010609,▯-KERANOVI▯ D.O.O. CAZIN
14489,7170,17,3060620000442065,Ć - KERANOVIĆ DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU CAZIN
14490,7170,1,3389002211084164,▯-KERANOVI▯ DOO CAZIN
14491,7171,14,1941070118200122,LEDA DOO
14492,7172,16,1610350022220026,ARI ALD PROM DOO BOSANSKA KRUPA
14493,7172,28,1985011010006322,ARI-ALD-PROM D.O.O.
14494,7172,1,3385302200130624,"ARI-ALD-PROM D O O BOSA-DRU TVO SA OGRANI ENOM ODGOVORNO U "" ARI-ALD- PROM"" ZA PROMET PROIZVODNJU"
14495,7173,14,1941070109000157,BIPA DOO
14496,7173,1,3385202201736464,BIPA D O O ZA TRGOVINU UGOSTITELJ I PREVOZ CAZIN
14497,7174,16,1610350005720035,E-FAVORIT DOO BUŽIM
14498,7174,28,1984011010000649,E-FAVORIT DOO
14499,7174,6,1990450002350553,E FAVORIT DOO
